text,category
Vani bhojam fans hit like solli 500 like Vangida Vendiyathu than,unknown_state
I love you ajith very I like,Positive
ennaya trailer Ku mudi Ellam nikkudhu... Vera level trailer..,Positive
Vijay Annaa  Ur Maassssss Therrrrriiiiii,Positive
நம்ப நடே நாசாமா தான் போச்சி,Negative
Gommala...Ending Vera level da deii  #GetRajinified,Positive
Vjs Anna kaaga like potavanga  Like pannuga,unknown_state
Theri!!! Semma Theri!! JOSEPH kuruvilla & VIJAY kumar are just awesome kumar,Positive
Ithu yethu maathiri illama puthu maathiyaala irukku,Positive
Wow! Back to Baasha mode..thalaivaaaa.petta paraakkkkk,Negative
"it not vijay hair ,,,, hair setup paaa",Mixed_feelings
2018 la intha teaser a pathavanga like pannunga,unknown_state
சாதி இல்லனா தமிழ்நாடும் இல்லைஅரசியலும் இல்லை வன்னியர் இல்லன அரசியலே இல்லை,unknown_state
"ஆண்ட சாதி, ஆண்ட சாதி  னு ஆயிரம் முறை சொல்லி , அதில் இருக்கும் தப்பை மட்டும் வெளிச்சம்போட்டு,எல்லாரையும் நோகடித்து, குற்ற உணர்ச்சி அடையச் செய்தால் அது புரட்சிப் படம். சமூகத்தில் இருக்கும் உண்மையான நாடகக் காதல் விஷயத்தை சொன்னால் அது சாதிப் படம். அவ்ளோதான் சார் போராலீஸ்!!",Mixed_feelings
Please support friends my tik tok id aravindking5007,unknown_state
Thala mass song        by            Sk007,Positive
டேய் பா ரஞ்சித் நாங்களும் படம் எடுப் போண்டா,Positive
kullan fans comments pottu manasa Thethikkunga Vera vazhiye illa?,unknown_state
Thaaaaaa vera level... #str  #aravindhsamy #VJS #arunvijay,Positive
Arjun sir kaage poi padam pakelam,Positive
"Podo thakida thakida, semma semma, waiting....",Positive
"விழிப்புணர்வு குழந்தை பருவத்தில் இருந்தே பெற்றோர்கள் சொல்லி கொடுத்து வளர்கனும், கட்டப்பஞ்சாயத்து செய்பவனை,அனைவரும் ஒன்று சேர்ந்து, தனிமை படுத்தவேண்டும்,பெண்களின் மானத்துடன் விளையாடும் அமைப்பு அழியும் காலம் இது",unknown_state
90's kids entertainer.. If u agree like here,unknown_state
Rasiganai rasikum Thalaivaaaaa.....unakkaka tha Thala waiting.......,Positive
ayyayyo . sruthihassan     . ellame poch,Negative
Tamilnadu ahhh THALA voice nala Thalahduthu,Positive
96 ல ஆத வசனம் 2016 இல்,unknown_state
Padam vettri pera vaazhthukkal..Jaadhi paarkadha manidhargal samoogathil irundhu oruvan,Positive
"இந்த ட்ரைலர் புடிக்காம dislike போற்றவங்கிய யாருலாம்னா... நாடக காதல் பண்ணவனும்.., நாடக காதல் பண்ணபோறவனும்..,நாடக காதல் பனிட்டுஇருபவனும்தான் இந்த ட்ரைலர் புடிக்காம dislike பன்னுவாங்கிய.., நாடக காதல் கூ***ரொம்ப நாள் என் மனதில் இருந்து வெளில சொல்ல ஆதங்கப்பட்டத அப்பிடியே பாக்கிறேன் திரௌபதி டைரக்டர் @மோகன் உங்களுக்கு என்னுடைய மனசார மனமார்ந்த நன்றி",Mixed_feelings
Ithu puthusa irukune puthusa irukku. .....,unknown_state
Vera level. . Waiting for FDFS,Positive
great bgm by santhosh Narayanan... outstanding,Positive
ராமநாதபுரம் மாவட்டம்  யாதவ சமுதாயம் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்,Positive
Telugu  Thala fan's hit likes,Positive
Kongu maveran yuvaraj avargalin valkaiyai pradibalikum intha thiraikaviam vetri adaya vazthukalnamakkal kongu vellar sangam sarbil vazthukal,Positive
நான் #உடையார் அனைத்து சாதியும் ஒன்றினைந்து நாடக காதல் ரஞ்சித் திருமா போன்ற தெருநாய்களை ஒழிகக் வேண்டும்...,Positive
"செரிமானக்கோளாறை சீராக்கி பசியைதுாண்டும் கொய்யா இலையின் சிறப்புத்தமிழ் ,  நெறியான வாழ்வுமுறை சரியான வாழ்க்கை தரும் ௭ன வரலாறு கூறும் தமிழ்  ,  விரிவான வளமை கொண்டு அறியணை அமா்ந்ததமிழ் அறிய மக்கள் தொலைக்காட்சி நிகழ்ச்சிகளை யூ டியூப் ல் காணுங்கள் நன்றி.",Mixed_feelings
Nice Teaser and thuppakki. 2 mathiri erukku Vera level teaser,Positive
"Kaagam karaindhu koodi unnum, Manidham ennum moodar koodam koodi serdhu pagaimai kollum... Idil yaar uyarthinai yaar agrinai",Mixed_feelings
night full ah watch panna pora trailer ah nega yarum night full ah PAKKA poringala Frnd,Mixed_feelings
சாதிகள் இல்லையடி பாப்பா....பாரதியின் கனவு வெறும் கனவாகவே போய்விட்டது...,unknown_state
Saavatha iruntha sanda poottu saavanu sir Payanthu kaala vilunthu saava koodathu,unknown_state
Va Va Bhairva....Ungal varugaikaga kathirukiroom....Kovai Youth Welfare Vijay Fans Club,Positive
Seriously I'm saying ladies direct pandra padam ethana thadava venalum pakalam because storyla neriya vishayam iruku nama kathuka.....,Positive
Rakul & Sai Pallavi My Combo,Positive
neraya neraya neraya neraya neraya neraya what a powerful performance.,Positive
Vandha raja vah dhaan varuven  Vera level str,unknown_state
"தன் அரசியல் லாபத்திற்காக, மாணவர்களையும் இளைஞர்களையும் சீரழித்துள்ளார், சரக்கு மிடுக்கு தலைவர்.",unknown_state
"அண்ணா செம மாஸ் ,படம் மாபெரும் வெற்றி பெறும்",Positive
எந்தெந்த youtube channel காரங்க எல்லாம் இதை ஜாதி வெறி படம்குறாங்களோ அவங்கெல்லாம் அந்த ஜாதி என்றறிக.,Negative
Bgm fight vera level  Waiting augest,Positive
Dai pundaikku poranthavane ni la vijay anna va pathu sirikka  Dai unga amma yepdi da unna petha  Devidiya intha comments ku ans pannu la  Ni thoothukudi va un sunni ah vetti poduren,Negative
you are anti indian tamil 🤣,Negative
Heyyy ithu 96 yaara ematharainga 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Positive
Avengers சார்பாக வெற்றி பெற வாழ்த்துகள்!!! அவெஞ்சர்ஸ் அசெம்பில்!,unknown_state
